Clapeyron Database File
PCPSAFT Like Parameters; Esper et al. (2023) [csvtype = like]
species,Mw,segment,sigma,epsilon,dipole,n_a,n_b,source,type,bounds_violation
"1,1,1,5,5,5-hexafluoro-2,4-pentanedione",207.996,4.61646,3.1243,195.3255,0.0,2,0,,NONPOLAR,OK
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",169.997,3.53879,3.30922,162.80876,1.46,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-chlorotetradecane,232.196,6.402,3.88956,265.17609,0.0,0,0,,NONPOLAR,OK
(trifluoromethyl)phosphonous dichloride,169.907,2.41179,3.85678,251.21405,0.0,0,0,,NONPOLAR,OK
trifluoromethyl)-phosphonous dibromide,257.806,2.12889,4.21141,312.94272,0.0,0,0,,NONPOLAR,OK
"perfluoro-1,3-dioxolane~|~2,2,4,4,5,5-hexafluoro-1,3-dioxolane",181.98,3.10928,3.48854,170.86521,0.0,2,0,,NONPOLAR,OK
hexafluorooxetane,165.985,3.34601,3.30559,160.92272,0.0,1,0,,NONPOLAR,OK
tetraethylgermane,190.078,3.18893,4.35286,291.20953,0.0,0,0,,NONPOLAR,OK
tetrabutylgermane,302.203,7.47881,3.90292,237.25775,0.0,0,0,,NONPOLAR,OK
octadecyl acetate~|~octadecyl ethanoate,312.303,8.19061,3.97505,263.03159,0.0,2,0,,NONPOLAR,OK
cyclopentanamine~|~cyclopentylamine,85.089,1.55714,4.5,344.94838,0.0,1,1,,ASSOCIATIVE,sigma: higher
trimethylaluminum,72.052,3.07608,3.51643,286.24799,1.59789,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-methylcyclopentanol,100.089,4.47637,3.20867,234.80544,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
1-methylcyclohexanol,114.104,3.18643,3.78142,316.35192,0.0,1,1,,ASSOCIATIVE,"kappa_ab: lower, epsilon_k_ab: lower"
ammonia-d3,17.027,2.77559,2.0918,129.26607,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
"2,4,4-trimethylhexane",128.157,3.44197,4.08813,257.53965,0.0,0,0,,NONPOLAR,OK
ethylene-d4,28.031,1.56426,3.27813,180.9977,0.0,0,0,,NONPOLAR,OK
8-quinolinol~|~8-hydroxyquinoline,145.053,2.29609,4.314,453.4343,0.0,2,1,,ASSOCIATIVE,OK
methyl cyclobutanecarboxylate,114.068,3.81207,3.43969,256.7895,0.0,2,0,,NONPOLAR,OK
cyclopropyl cyanide~|~cyclopropanecarbonitrile,67.042,2.54287,3.45745,291.46878,3.75,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
nitrogen dioxide,45.993,5.4723,1.9,168.28084,0.0,2,0,,NONPOLAR,sigma: lower
"2,3,4,5,6-pentafluorotoluene",182.015,3.84448,3.51167,242.33665,0.0,0,0,,NONPOLAR,OK
"3-dimethylaminopropylamine~|~3-n,n-dimethylaminopropylamine~|~n,n-dimethyl-1,3-propanediamine",102.116,1.99434,4.5,335.75613,0.0,2,1,,ASSOCIATIVE,sigma: higher
"1,2-dichlorobutane",126.0,2.87411,3.76535,291.44147,0.0,0,0,,NONPOLAR,OK
hexachlorodisilane,265.767,3.54771,4.02088,266.48721,0.0,0,0,,NONPOLAR,OK
n-aminoethyl ethanolamine~|~n-(2-aminoethyl)ethanolamine~|~2-(2-aminoethyl)aminoethanol,104.095,1.81544,4.5,388.94976,0.0,3,3,,ASSOCIATIVE,sigma: higher
"r225cb~|~1,3-dichloro-1,1,2,2,3-pentafluoropropane",201.938,2.77618,3.88512,238.17817,0.0,0,0,,NONPOLAR,OK
5-nonanol,144.151,6.75491,3.27587,217.01646,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
"2-pentyl-2-nonenal~|~2-nonenal, 2-pentyl-",210.198,6.10799,3.84204,264.85777,0.0,1,0,,NONPOLAR,OK
"2-(1,2-dimethylpropyl)-5,6-dimethyl-2-heptenal",210.198,5.40446,3.97504,270.07525,0.0,1,0,,NONPOLAR,OK
"n,n-dimethyl(2-pentylnonyl)amine~|~n,n-dimethyl-2-pentyl-1-nonanamine",241.277,6.85322,3.93834,246.47036,0.0,1,0,,NONPOLAR,OK
2-hexyl mercaptan,118.082,2.81312,4.12304,293.20744,0.0,1,1,,ASSOCIATIVE,OK
1-heptanethiol~|~heptyl mercaptan~|~n-heptyl mercaptan,132.097,2.47315,4.5,309.40705,0.0,1,1,,ASSOCIATIVE,sigma: higher
"methyl t-butyl sulfide~|~3,3-dimethyl-2-thiabutane~|~methyl-tert-butylthioether~|~2-methyl-2-(methylthio)-propane~|~methyl-t-butyl sulfide",104.066,2.77365,3.92011,273.84587,1.56,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-pentanethiol~|~pentyl mercaptan~|~n-pentyl mercaptan,104.066,2.92309,3.87121,284.25802,0.0,1,1,,ASSOCIATIVE,OK
"2,4-dimethylpyrrole",95.073,4.57531,3.13061,255.59742,0.0,0,1,,NONPOLAR,OK
n-methylpiperazine~|~1-methylpiperazine,100.1,1.78424,4.5,365.11248,0.0,2,1,,ASSOCIATIVE,sigma: higher
3-methylhexanal~|~(.+-.)-3-methylhexanal,114.104,3.80538,3.66713,258.96667,0.0,1,0,,NONPOLAR,OK
"3,4-dimethylpentanal",114.104,3.51585,3.75619,270.25784,0.0,1,0,,NONPOLAR,OK
2-methyl-1-heptanol,130.136,2.62364,4.46435,330.61678,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
6-methyl-3-heptanol,130.136,2.51349,4.5,334.2126,0.0,1,1,,ASSOCIATIVE,"sigma: higher, kappa_ab: lower"
"tert-butylcyclohexane~|~1,1-dimethylethylcyclohexane",140.157,3.53263,4.062,281.9821,0.0,0,0,,NONPOLAR,OK
perfluorodecane~|~perfluoro-n-decane,537.965,6.3228,3.85218,190.43719,0.0,0,0,,NONPOLAR,OK
n-dodecylcyclohexane,252.282,8.08947,3.75168,246.30357,0.0,0,0,,NONPOLAR,OK
triphenylmethane,244.125,5.45854,3.93054,322.75418,0.0,0,0,,NONPOLAR,OK
decylcyclohexane~|~n-decylcyclohexane,224.25,6.10523,3.98296,270.33241,0.0,0,0,,NONPOLAR,OK
cinnamaldehyde,132.058,4.56164,3.33575,304.2789,0.0,1,0,,NONPOLAR,OK
"bicyclopentyl~|~1,1'-bicyclopentyl",138.141,3.59902,3.93725,294.52487,0.0,0,0,,NONPOLAR,OK
"1,2-dicyclohexylethane",194.203,4.77855,4.03219,294.0877,0.0,0,0,,NONPOLAR,OK
bis(acetylacetonato)beryllium(ii),207.101,6.13034,3.50934,272.01924,0.0,4,0,,NONPOLAR,OK
dimethylester sulfurous acid,110.004,3.5552,3.25269,266.57358,0.0,3,0,,NONPOLAR,OK
"pyrimidine~|~1,3-diazabenzene",80.037,3.43346,3.09619,268.54116,2.34,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
diphenyl selenide,233.995,5.11542,3.64339,306.83927,0.0,0,0,,NONPOLAR,OK
"1,7-dichloroheptane",168.047,4.96676,3.55318,269.95191,0.0,0,0,,NONPOLAR,OK
ethyl caprate~|~ethyl decanoate~|~decansaeureethylester~|~decanoic acid ethyl ester,200.178,6.19747,3.71893,246.30589,0.0,2,0,,NONPOLAR,OK
perfluorotoluene~|~octafluorotoluene,235.987,4.37021,3.45886,216.9885,0.0,0,0,,NONPOLAR,OK
"1,3,5,7-cyclooctatetraene",104.063,2.99872,3.72542,297.47748,0.0,0,0,,NONPOLAR,OK
1-iodonaphthalene,253.959,5.12148,3.44441,309.37334,0.0,0,0,,NONPOLAR,OK
tetrahydropyran-2-one,100.052,2.93944,3.56991,377.7964,0.0,2,0,,NONPOLAR,OK
"dimethyl terephthalate~|~dimethyl 1,4-benzenedicarboxylate~|~1,4-benzenedicarboxylicaciddimethylester",194.058,4.80257,3.6395,308.88309,2.3,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"ethyltrimethylacetate~|~ethyl 2,2-dimethylpropanoate~|~2,2-dimethylpropanoic acid ethyl ester",130.099,4.02709,3.66423,233.1494,0.0,2,0,,NONPOLAR,OK
"1,1'-bicyclohexyl-2-one~|~(1,1'-bicyclohexyl)-2-one",180.151,4.87135,3.7745,292.9591,2.92,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-cyclohexenyl cyclohexanone~|~2-(1-cyclohexen-1-yl)cyclohexanone,178.136,4.48717,3.8421,312.82975,0.0,1,0,,NONPOLAR,OK
phosphorus tribromide,267.729,1.60557,4.38212,475.67749,0.0,0,0,,NONPOLAR,OK
cyanogen~|~ethanedinitrile,52.006,2.89306,2.85606,191.09911,0.0,2,0,,NONPOLAR,OK
"2,4,6-trichlorophenol",195.925,4.92858,3.22041,190.47134,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
cyclobutanone,70.042,2.59048,3.40298,277.32265,2.99,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethyl isothiocyanate,87.014,2.419,3.69059,337.94773,0.0,2,0,,NONPOLAR,OK
gallium trichloride,173.832,3.18028,3.32436,274.301,5.1,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
3-chlorophenyl isocyanate,152.998,3.43927,3.67337,320.61662,0.0,2,0,,NONPOLAR,OK
dimethylmercury,232.018,1.90774,3.78655,353.19312,0.65,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
o-anisaldehyde~|~2-methoxybenzaldehyde,136.052,4.28145,3.41771,309.50905,0.0,2,0,,NONPOLAR,OK
"cis-1,3-dichloropropene",109.969,2.78101,3.52289,284.90215,1.79,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"trans-1,3-dichloropropene~|~trans-1,3-dichloro-1-propene",109.969,2.87975,3.48819,285.67713,1.81,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"perchlorocyclopentadiene~|~hexachlorocyclopentadiene~|~1,2,3,4,5,5-hexachloro-1,3-cyclopentadiene",269.813,4.23003,3.75166,300.98394,1.05,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
vinyl triethoxy silane,190.103,6.34537,3.49229,203.14325,0.0,3,0,,NONPOLAR,OK
(3-chloropropyl)trichlorosilane,209.899,4.1018,3.72301,270.88173,0.0,0,0,,NONPOLAR,OK
2'-hydroxyacetophenone~|~1-(2-hydroxyphenyl)ethanone,136.052,3.11993,3.84571,335.67947,0.0,2,1,,ASSOCIATIVE,OK
2-ethylstyrene~|~o-ethylstyrene~|~ortho-ethyl-styrene,132.094,2.99003,4.09472,329.13116,0.0,0,0,,NONPOLAR,OK
"ethyl tert-butyl disulfide~|~2,2-dimethyl-3,4-dithiahexane",150.054,3.74374,3.87157,278.55735,0.0,2,0,,NONPOLAR,OK
"methyl 4-pyridinecarboxylate~|~4-pyridinecarboxylic acid, methyl ester",137.048,4.16233,3.41234,293.20627,0.0,3,0,,NONPOLAR,OK
stibine,123.927,1.30503,3.84135,309.98249,0.0,0,0,,NONPOLAR,OK
(ethylthio)benzene~|~phenyl ethyl sulfide,138.05,3.76113,3.69532,302.73934,0.0,1,0,,NONPOLAR,OK
methyl-phosphonic acid dimethyl ester,124.029,3.8572,3.37305,288.31614,0.0,3,0,,NONPOLAR,OK
benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene,124.035,3.63644,3.53107,223.56689,0.0,1,1,,ASSOCIATIVE,OK
2-(hydroxymethyl)-thiophene,114.014,4.16804,3.19577,296.26814,0.0,2,1,,ASSOCIATIVE,kappa_ab: lower
ethyl cyclopropanecarboxylate,114.068,3.69511,3.5026,259.75975,0.0,2,0,,NONPOLAR,OK
"methyl ester cyclopropanecarboxylic acid~|~cyclopropanecarboxylic acid, methyl ester",100.052,3.57214,3.34202,256.0509,0.0,2,0,,NONPOLAR,OK
cyclopropanecarboxylic acid,86.037,5.2811,2.74919,251.09198,0.0,1,1,,ASSOCIATIVE,OK
dibutyl ester (e)-2-butenedioic acid,228.136,6.19943,3.74038,266.37276,0.0,4,0,,NONPOLAR,OK
diethyl ester pentylpropanedioic acid,230.152,8.45375,3.35349,214.62221,0.0,4,0,,NONPOLAR,OK
benzenesulfonyl chloride,175.97,4.12554,3.54246,303.50079,4.53,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"propyl dodecanoate~|~dodecanoic acid, propyl ester",242.225,6.39639,3.95331,266.42306,0.0,2,0,,NONPOLAR,OK
decanoic acid butyl ester,228.209,6.82014,3.77288,248.81426,0.0,2,0,,NONPOLAR,OK
propyl decanoate~|~decanoic acid propyl ester,214.193,6.31978,3.78505,250.45298,0.0,2,0,,NONPOLAR,OK
acetaldoxime,59.037,4.22473,2.68578,205.65451,0.0,2,1,,ASSOCIATIVE,OK
bis(3-aminopropyl)amine,131.142,2.27446,4.5,50.0,0.0,3,3,,ASSOCIATIVE,"sigma: higher, epsilon_k: lower"
(z)-3-methyl-3-hexene~|~cis-3-methyl-3-hexene,98.11,3.40918,3.74143,240.73157,0.0,0,0,,NONPOLAR,OK
"2,4-dimethyl-1-pentene",98.11,3.07038,3.89844,243.85321,0.0,0,0,,NONPOLAR,OK
"(z)-4,4-dimethyl-2-pentene~|~cis-4,4-dimethyl-2-pentene",98.11,2.92104,3.95701,249.92459,0.0,0,0,,NONPOLAR,OK
"(e)-4,4-dimethyl-2-pentene~|~trans-4,4-dimethyl-2-pentene",98.11,3.3141,3.79482,230.38515,0.0,0,0,,NONPOLAR,OK
"4,4-dimethyl-1-pentene",98.11,2.88984,3.99143,244.74101,0.0,0,0,,NONPOLAR,OK
"2-ethyl-3-methyl-1-butene~|~1-butene, 2-ethyl-3-methyl-",98.11,2.99671,3.90987,251.86707,0.0,0,0,,NONPOLAR,OK
1-ethylcyclohexene,110.11,3.47909,3.72671,267.1758,0.0,0,0,,NONPOLAR,OK
"(e)-2,2-dimethyl-3-hexene~|~trans-2,2-dimethyl-3-hexene",112.125,3.62903,3.84198,233.29859,0.0,0,0,,NONPOLAR,OK
"(z)-2,2-dimethyl-3-hexene~|~cis-2,2-dimethyl-3-hexene",112.125,3.2486,3.98744,250.91617,0.0,0,0,,NONPOLAR,OK
3-ethyl-2-methyl-1-pentene~|~2-methyl-3-ethyl-1-pentene,112.125,3.26285,3.96422,253.39823,0.0,0,0,,NONPOLAR,OK
2-vinyltoluene~|~o-methylstyrene~|~1-methyl-2-vinylbenzene~|~1-ethenyl-2-methylbenzene,118.078,3.57059,3.68275,287.4741,0.0,0,0,,NONPOLAR,OK
3-vinyltoluene~|~m-methylstyrene~|~3-methylstyrene~|~1-ethenyl-3-methylbenzene,118.078,3.54515,3.69698,288.84016,0.0,0,0,,NONPOLAR,OK
"2,2,3,4-tetramethylpentane",128.157,3.24524,4.14986,267.96763,0.0,0,0,,NONPOLAR,OK
"2,3,3,4-tetramethylpentane",128.157,3.23656,4.13476,274.92506,0.0,0,0,,NONPOLAR,OK
"2,2,3,3-tetramethylpentane",128.157,3.17527,4.15862,276.93581,0.0,0,0,,NONPOLAR,OK
"2,2,4,4-tetramethylpentane",128.157,3.23856,4.1762,259.96116,0.0,0,0,,NONPOLAR,OK
"ethyl-linoleate~|~ethyl linoleate~|~(z,z)-9,12-octadecadienoic acid ethyl ester",308.272,7.18365,4.11338,277.68382,0.0,2,0,,NONPOLAR,OK
cyclopropanamine~|~cyclopropylamine,57.058,3.24835,2.8357,117.74637,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
"4,5,9,10-tetrahydropyrene",206.11,4.09051,4.04108,378.12121,0.0,0,0,,NONPOLAR,OK
"1,2,3,6,7,8-hexahydropyrene",208.125,4.09989,4.07796,382.73168,0.0,0,0,,NONPOLAR,OK
"ethyl-t-butyl sulfide~|~ethyl t-butyl sulfide~|~ethyl-tert-butyl sulfide~|~2,2-dimethyl-3-thiapentane~|~2-(ethylthio)-2-methylpropane",118.082,3.21331,3.90645,264.67979,1.64,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-heptadecene,238.266,7.12672,3.89934,252.3126,0.0,0,0,,NONPOLAR,OK
triethylsilane,116.102,3.56327,3.87224,240.79669,0.0,0,0,,NONPOLAR,OK
"n-methylpropane-1,3-diamine~|~1,3-propanediamine, n-methyl-",88.1,2.26839,4.05107,340.08937,0.0,2,2,,ASSOCIATIVE,OK
"r1122~|~2-chloro-1,1-difluoroethylene~|~1-chloro-2,2-difluoroethylene",97.973,2.54285,3.27944,202.77134,0.0,0,0,,NONPOLAR,OK
tritium oxide,18.011,2.63111,1.99608,344.33359,0.0,0,0,,NONPOLAR,OK
methyl chlorosilane~|~chloro(methyl)silane,79.985,2.33529,3.59111,225.73987,1.93,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-decanethiol~|~decyl mercaptan~|~n-decyl mercaptan,174.144,4.18634,4.14231,291.44017,0.0,1,1,,ASSOCIATIVE,OK
"1,2-dichlorohexafluoropropane",219.928,2.92332,3.85802,215.52046,0.0,0,0,,NONPOLAR,OK
trifluoroacetyl fluoride,115.989,3.76345,2.87039,134.60067,0.0,1,0,,NONPOLAR,OK
2-nitrobutane,103.063,3.19131,3.57479,288.14137,0.0,2,0,,NONPOLAR,OK
n-butyldichloro arsine,201.93,6.35748,3.89488,214.49689,0.0,0,0,,NONPOLAR,OK
"cis-1,3-dimethylcyclopentane",98.11,2.84978,3.92513,263.71583,0.0,0,0,,NONPOLAR,OK
"2,2,5,5-tetramethylhexane",142.172,3.62094,4.16831,252.17979,0.0,0,0,,NONPOLAR,OK
dichlorodiethylsilane,155.993,3.32894,3.90791,264.23698,2.39,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methyl eicosanoate~|~eicosanoicacidmethylester,326.318,11.74916,3.53438,225.69967,0.0,2,0,,NONPOLAR,OK
fluoroacetic acid,78.012,1.0,4.14954,172.60704,0.0,1,1,,ASSOCIATIVE,m: lower
dodecanoic acid butyl ester,256.24,9.02208,3.56685,232.33329,0.0,2,0,,NONPOLAR,OK
3-methylcyclopentanone,98.073,3.16271,3.6008,282.17998,3.14,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"dimethyl 1,7-heptanedioate~|~dimethyl ester heptanedioic acid",188.105,7.283,3.22232,226.76325,0.0,4,0,,NONPOLAR,OK
dimethyl nonanedioate~|~dimethyl ester nonanedioic acid,216.136,7.18912,3.45916,248.23006,0.0,4,0,,NONPOLAR,OK
1-undecyne,152.157,5.22298,3.70663,242.80053,0.0,0,0,,NONPOLAR,OK
1-dodecyne,166.172,9.93192,3.03014,191.85905,0.0,0,0,,NONPOLAR,OK
1-tridecyne,180.188,5.25167,3.92218,260.47712,0.0,0,0,,NONPOLAR,OK
1-chloroundecane,190.149,5.30935,3.85365,265.65126,0.0,0,0,,NONPOLAR,OK
2-propylpyridine,121.089,3.59754,3.69645,285.72078,0.0,1,0,,NONPOLAR,OK
diamyl oxalate,230.152,5.86688,3.84745,269.04678,0.0,4,0,,NONPOLAR,OK
undecanoic acid ethyl ester,214.193,7.26437,3.59639,233.66932,0.0,2,0,,NONPOLAR,OK
isopropyl phenyl ether,136.089,4.21206,3.60633,265.38824,0.0,1,0,,NONPOLAR,OK
1-cyanonaphthalene,153.058,3.65703,3.80847,371.06705,0.0,1,0,,NONPOLAR,OK
hexyl formate~|~n-hexyl formate~|~hexyl methanoate~|~formicacidhexylester,130.099,4.56086,3.5112,241.13387,0.0,2,0,,NONPOLAR,OK
diisopropyl oxalate,174.089,5.99399,3.39553,228.57798,0.0,4,0,,NONPOLAR,OK
dipentyl ester butanedioic acid,258.183,7.37042,3.70934,256.52535,0.0,4,0,,NONPOLAR,OK
dipropyl adipate~|~dipropyl hexanedioate,230.152,6.74965,3.65092,254.92813,0.0,4,0,,NONPOLAR,OK
dipentyl adipate,286.214,9.94865,3.46701,229.8869,0.0,4,0,,NONPOLAR,OK
diphenyldichlorosilane~|~dichlorodiphenylsilane,251.993,4.89593,3.93899,311.46875,2.58,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethyltrichlorosilane~|~trichloroethylsilane~|~ethyl silicon trichloride,161.923,3.07711,3.86316,257.40105,0.0,0,0,,NONPOLAR,OK
"2,6-dimethyl-3-octylnaphthalene",268.219,6.90604,3.91531,295.37663,0.0,0,0,,NONPOLAR,OK
2-butyl-3-hexylnaphthalene,268.219,6.67505,3.96247,294.46499,0.0,0,0,,NONPOLAR,OK
7-butyl-1-hexylnaphthalene,268.219,6.59189,3.98367,293.53713,0.0,0,0,,NONPOLAR,OK
"1,4-dimethyl-5-octylnaphthalene",268.219,6.74693,3.93047,300.50964,0.0,0,0,,NONPOLAR,OK
"6-butyl-7-hexyl-1,2,3,4-tetrahydronaphthalene",272.25,6.62524,4.02038,288.72756,0.0,0,0,,NONPOLAR,OK
"7-butyl-1-hexyl-1,2,3,4-tetrahydronaphthalene",272.25,6.85127,3.97592,281.09717,0.0,0,0,,NONPOLAR,OK
3-butyl-4-hexylbicyclo[4.4.0]decane~|~2-butyl-3-hexyldecahydronaphthalene,278.297,7.21996,3.9679,271.15638,0.0,0,0,,NONPOLAR,OK
"2,5-dimethyl-7-octylbicyclo[4.4.0]decane~|~1,4-dimethyl-5-octyldecahydronaphthalene",278.297,6.37881,4.14794,287.65957,0.0,0,0,,NONPOLAR,OK
"2,6-dimethyl-3-octyldecahydronaphthalene",278.297,6.2911,4.17871,291.22064,0.0,0,0,,NONPOLAR,OK
octanoic acid octyl ester,256.24,8.51851,3.61554,236.49909,0.0,2,0,,NONPOLAR,OK
7-thiatridecane~|~dihexyl sulfide,202.176,5.81289,3.86146,263.71683,0.0,1,0,,NONPOLAR,OK
"1,2,3,4-tetrahydro-n-methylcarbazole~|~2,3,4,9-tetrahydro-9-methyl-1h-carbazole",185.12,4.46014,3.8373,350.86129,0.0,1,0,,NONPOLAR,OK
"ethylhexyl acetate~|~2-ethylhexyl acetate~|~1-hexanol, 2-ethyl-, acetate~|~aceticacid-2-ethylhexylester",172.146,6.12871,3.49249,226.87213,0.0,2,0,,NONPOLAR,OK
p-cumylphenol~|~4-(1-methyl-1-phenylethyl)phenol~|~4-(1-methyl-1-phenylethyl)-phenol,212.12,3.29875,4.5,361.97711,0.0,1,1,,ASSOCIATIVE,sigma: higher
tetrapropylgermane,246.14,5.89559,3.90291,241.05822,0.0,0,0,,NONPOLAR,OK
"perfluoro-2-methyl-butane~|~butane, nonafluoro-2-(trifluoromethyl)-",287.981,4.38356,3.56051,168.85714,0.0,0,0,,NONPOLAR,OK
"perfluoro-2,3-dimethylbutane~|~butane, octafluoro-2,3-bis(trifluoromethyl)-",337.978,4.18181,3.78861,189.34699,0.0,0,0,,NONPOLAR,OK
chlorocyclopentane,104.039,2.88777,3.63855,284.97726,0.0,0,0,,NONPOLAR,OK
citral,152.12,5.65245,3.47273,254.08179,0.0,1,0,,NONPOLAR,OK
chlorosulfuric acid,115.933,1.42272,3.92108,194.6078,0.0,2,1,,ASSOCIATIVE,OK
"1,1-dimethyl-1-propoxy ethane",116.12,3.68606,3.77901,229.97117,0.0,1,0,,NONPOLAR,OK
"1,1-dichloro-n,n-dimethylboranamine",124.997,2.53162,3.88987,306.44194,0.0,1,0,,NONPOLAR,OK
methylvinylether~|~vinyl methyl ether,58.042,2.34442,3.4151,231.77055,1.11,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,4-dichloro-t-2-butene~|~1,4-dichloro-trans-2-butene",123.985,3.83059,3.33815,274.10452,0.0,0,0,,NONPOLAR,OK
trans-crotonic-acid~|~trans-crotonic acid~|~trans-2-butenoic acid,86.037,4.01532,3.10577,289.48285,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
phenoxathiin,200.03,3.75443,3.97879,382.06258,0.0,2,0,,NONPOLAR,OK
"2-(difluoromethoxy)-1,1,1-trifluoroethane~|~1,1,1-trifluoro-2-(difluoromethoxy)ethane",150.01,3.75141,3.23913,189.09944,1.63,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trimethylgallium,113.996,3.90204,3.17662,204.59089,0.0,0,0,,NONPOLAR,OK
sulfur dichloride,101.91,2.11157,3.40861,305.13997,0.0,1,0,,NONPOLAR,OK
cycloundecanone,168.151,7.98757,3.09718,228.16485,0.0,1,0,,NONPOLAR,OK
hexylcyclohexane,168.188,4.50983,4.00147,276.55133,0.0,0,0,,NONPOLAR,OK
octylcyclohexane~|~1-cyclohexyloctane,196.219,5.14602,4.03342,277.80431,0.0,0,0,,NONPOLAR,OK
"1,2-dibromo-2-chloro-1,1,2-trifluroethane~|~1,2-dibromo-1-chloro-1,2,2-trifluoroethane",273.801,2.80746,3.86073,268.8613,0.0,0,0,,NONPOLAR,OK
methoxycyclopentane,100.089,3.09647,3.68029,265.19482,0.0,1,0,,NONPOLAR,OK
cyclopentyl acetate~|~cyclopentyl ethanoate,128.084,4.11073,3.50532,255.94038,0.0,2,0,,NONPOLAR,OK
cyclohexyl formate~|~cyclohexyl methanoate~|~formicacidcyclohexylester,128.084,3.54693,3.67959,283.4585,0.0,2,0,,NONPOLAR,OK
iodocyclohexane,209.991,2.77681,4.04025,347.60097,0.0,0,0,,NONPOLAR,OK
"diethyl ester 1,1-cyclopropanedicarboxylic acid",186.089,5.41964,3.54229,254.5684,0.0,4,0,,NONPOLAR,OK
"diethyl ester 1,1-cyclobutanedicarboxylic acid",200.105,5.93279,3.5315,245.22991,0.0,4,0,,NONPOLAR,OK
cyclobutanecarboxylic acid,100.052,2.59068,3.79229,364.92074,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
"ethyl ester cyclobutanecarboxylic acid~|~cyclobutanecarboxylic acid, ethyl ester",128.084,4.03969,3.54565,257.34034,0.0,2,0,,NONPOLAR,OK
"1,4-di-tert-butylbenzene~|~1,4-bis(1,1-dimethylethyl)benzene~|~1,4-bis(1,1-dimethylethyl)-benzene",190.172,4.90129,3.95794,271.45198,0.0,0,0,,NONPOLAR,OK
cyclopentyl formate,114.068,3.50078,3.52972,272.40023,0.0,2,0,,NONPOLAR,OK
"perfluoro-1,3-dimethylcyclohexane",399.974,4.79141,3.80826,198.24067,0.0,0,0,,NONPOLAR,OK
"5-trifluoromethylperfluoro-3,6-dioxanonane",469.961,5.54404,3.92896,177.33178,0.0,2,0,,NONPOLAR,OK
"2,5-dimethylfuran",96.058,3.56512,3.39067,239.39843,0.0,1,0,,NONPOLAR,OK
1-phenyl-1-propanol~|~a-ethylbenzylalcohol,136.089,3.21885,3.95653,311.2734,0.0,1,1,,ASSOCIATIVE,OK
borazine,81.084,1.47621,4.5,338.24131,0.0,3,3,,ASSOCIATIVE,sigma: higher
"p-tert-butyltoluene~|~1-(1,1-dimethylethyl)-4-methylbenzene",148.125,3.84456,3.95814,283.89577,0.0,0,0,,NONPOLAR,OK
"2,2'-oxybis-butane~|~di-sec-butyl ether",130.136,3.88483,3.85808,237.08157,0.0,1,0,,NONPOLAR,OK
oxybis(difluoromethane)~|~bis(difluoromethyl) ether,118.004,3.40285,3.06523,184.81506,1.74,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
cyclohexylmethanol,114.104,1.99225,4.5,360.64164,0.0,1,1,,ASSOCIATIVE,sigma: higher
heptyl formate~|~n-heptyl formate~|~heptyl methanoate~|~formicacidheptylester,144.115,4.86742,3.5668,244.16673,0.0,2,0,,NONPOLAR,OK
tetranitromethane,195.972,4.00632,3.40775,243.79856,0.0,8,0,,NONPOLAR,OK
"perfluorobutanoic acid~|~heptafluorobutanoic acid~|~butanoic acid, heptafluoro-",213.986,7.06311,2.81259,150.3111,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
perfluoroheptanoic acid~|~tridecafluoroheptanoic acid,363.977,4.60229,3.93777,214.05144,0.0,1,1,,ASSOCIATIVE,OK
